		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   19   21   25   25   26   21   27   20  3.459031 0.902346 SUCCESS  76
100101000   17   20   29   22   25   26   35   22  9.408905 0.308983 SUCCESS  77
100110000   23   23   25   20   26   21   16   13 10.091406 0.258669 SUCCESS  78
100111000   28   23   30   19   21   20   26   28  5.163629 0.739953 SUCCESS  79
101000000   29   28   23   25   15   28   28   31  8.232567 0.411088 SUCCESS  80
101000100   21   19   20   24   21   28   30   20  5.738227 0.676527 SUCCESS  81
101001000   27   22   25   16   29   21   21   29  6.306868 0.612900 SUCCESS  82
101001100   22   24   25   22   24   18   21   32  5.188122 0.737293 SUCCESS  83
101010000   22   28   29   27   28   23   21   35  7.860534 0.447211 SUCCESS  84
101010100   24   17   37   20   31   18   27   38 21.578742 0.005759 FAILURE  85
101011000   24   29   28   28   18   21   35   29  9.885531 0.273152 SUCCESS  86
101011100   33   19   19   27   25   28   23   21  7.027764 0.533640 SUCCESS  87
101100000   29   26   33   26   21   21   25   28  5.792509 0.670461 SUCCESS  88
101100100   29   21   13   26   19   25   21   26  8.847546 0.355320 SUCCESS  89
101101000   35   27   20   24   18   27   30   20 10.045068 0.261877 SUCCESS  90
101101100   29   19   22   20   25   33   18   25  8.094875 0.424258 SUCCESS  91
101110000   26   17   24   23   24   28   29   27  4.257378 0.833187 SUCCESS  92
101110100   19   24   27   25   17   26   24   29  4.875005 0.770848 SUCCESS  93
101111000   22   20   21   22   27   21   21   27  3.348480 0.910626 SUCCESS  94
101111100   24   24   25   24   29   17   24   13  8.762813 0.362698 SUCCESS  95
110000000   23   28   16   29   24   19   25   24  5.781256 0.671719 SUCCESS  96
110000010   22   20   30   32   27   26   24   25  5.258292 0.729646 SUCCESS  97
110000100   23   20   22   11   23   21   29   19 11.455747 0.177188 SUCCESS  98
110001000   23   24   35   22   26   22   20   29  7.164132 0.519032 SUCCESS  99
110001010   27   32   36   24   29   17   20   28 13.029273 0.110846 SUCCESS 100
110010000   21   22   22   25   26   31   18   13 10.186069 0.252208 SUCCESS 101
110010010   26   19   30   21   23   24   25   29  4.164039 0.842028 SUCCESS 102
110010100   27   18   21   24   38   22   31   20 13.264937 0.103053 SUCCESS 103
110011000   19   29   31   25   22   21   16   16 10.703076 0.219097 SUCCESS 104
110011010   20   14   26   27   28   23   20   30  8.577458 0.379184 SUCCESS 105
110100000   28   28   23   22   15   19   27   21  7.178695 0.517481 SUCCESS 106
110100010   23   18   25   27   20   19   14   28  9.304312 0.317279 SUCCESS 107
110100100   23   17   22   21   26   21   30   27  5.348983 0.719708 SUCCESS 108
110101000   23   17   30   37   29   24   26   31 13.317896 0.101370 SUCCESS 109
110101010   26   20   34   16   26   23   29   35 13.672717 0.090705 SUCCESS 110
110101100   19   30   24   27   28   32   31   26  7.810224 0.452224 SUCCESS 111
110110000   19   24   25   19   24   24   22   30  4.077982 0.850020 SUCCESS 112
110110010   33   20   17   20   21   18   26   28  9.974898 0.266792 SUCCESS 113
110110100   34   26   20   20   24   27   28   15 10.239028 0.248649 SUCCESS 114
110111000   22   20   25   24   29   24   26   30  3.427256 0.904761 SUCCESS 115
110111010   23   31   33   31   16   24   21   23 10.477340 0.233107 SUCCESS 116
110111100   25   28   21   22   25   32   24   18  5.502562 0.702756 SUCCESS 117
111000000   26   20   13   24   22   15   29   21 11.811892 0.159796 SUCCESS 118
111000010   25   17   26   20   25   23   22   22  3.848275 0.870547 SUCCESS 119
111000100   25   17   29   26   26   24   23   32  5.986469 0.648748 SUCCESS 120
111000110   29   22   23   35   23   30   22   31  9.487681 0.302839 SUCCESS 121
111001000   16   28   29   29   27   31   25   13 12.984920 0.112370 SUCCESS 122
111001010   28   23   25   23   30   25   21   24  2.571316 0.958322 SUCCESS 123
111001100   19   32   33   24   30   29   17   23 11.452437 0.177357 SUCCESS 124
111010000   20   36   23   29   19   23   22   24  9.069971 0.336428 SUCCESS 125
111010010   22   20   20   14   26   19   35   28 13.118640 0.107832 SUCCESS 126
111010100   26   26   32   33   24   26   21   30  7.734096 0.459866 SUCCESS 127
111010110   23   29   22   24   30   27   27   23  3.216084 0.920074 SUCCESS 128
111011000   22   29   27   24   18   22   25   18  5.162305 0.740096 SUCCESS 129
111011010   27   24   15   23   33   35   30   18 15.078762 0.057632 SUCCESS 130
111011100   21   29   28   24   25   23   25   20  2.875826 0.941907 SUCCESS 131
111100000   20   24   15   27   23   21   26   21  6.025526 0.644372 SUCCESS 132
111100010   27   21   29   25   29   24   32   30  6.369756 0.605888 SUCCESS 133
111100100   17   23   33   28   24   32   28   16 12.078670 0.147728 SUCCESS 134
111100110   17   26   30   23   38   29   15   23 16.400074 0.036999 SUCCESS 135
111101000   27   36   24   23   17   26   20   28  9.875601 0.273866 SUCCESS 136
111101010   30   28   29   22   16   23   31   27  8.223961 0.411904 SUCCESS 137
111101100   15   32   21   25   17   16   25   22 12.261376 0.139917 SUCCESS 138
111101110   21   29   32   32   20   25   30   27  8.733686 0.365258 SUCCESS 139
111110000   17   15   16   21   24   17   27   23 12.234235 0.141055 SUCCESS 140
111110010   22   22   30   25   27   31   27   15  7.994254 0.434032 SUCCESS 141
111110100   23   27   21   28   27   26   21   22  2.536893 0.959988 SUCCESS 142
111110110   25   30   15   27   20   23   30   20  8.425203 0.393074 SUCCESS 143
111111000   28   26   27   26   25   26   32   32  6.073851 0.638960 SUCCESS 144
111111010   24   23   27   28   21   18   31   24  5.002768 0.757280 SUCCESS 145
111111100   24   19   25   30   28   27   25   21  3.927050 0.863644 SUCCESS 146
111111110   27   24   35   23   19   26   24   18  8.222637 0.412030 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
